Company,Title,Original Price,Current Price,Number of Reviews
러븀,[1월 올영픽] 러븀 내추럴 블랑 데일리 토너 패드 60매,"23,000","15,000",426
브이티,[아랑Pick] VT 리들샷 100 에센스 50ml,"32,000","24,600",999+
데이지크,[NEW 출시] 데이지크 워터 베일 프라이머 40ml,"28,000","19,900",64
달바,[NEW 올영 단독 런칭/쇼케이스 특가] 달바 워터풀 톤업 선크림 퍼플 50ml,"34,000","19,900",10
마녀공장,[3년 연속 1위] 마녀공장 퓨어 클렌징 오일 300mlx2 더블기획,"49,000","31,400",999+
에스트라,[NEW/리뷰이벤트] 에스트라 아토베리어365 크림 80ml,"33,000","26,400",86
달바,[쇼케이스 특가] 달바 워터풀 톤업 선크림 듀오 기획(50ml+50ml),"51,000","35,700",999+
메디힐,[거울키링증정] 메디힐 패드 100매 (+100매 더블증정 빤쮸토끼 기획) 콜라겐/마데카소사이드/티트리 3종 택1,"39,900","28,400",999+
랑벨,랑벨 내츄럴 딥클렌징 스페셜 기획 (클렌징오일200ml+클렌저30ml),"19,900","15,210",999+
비플레인,[늘이농 PICK / 단독기획] 비플레인 시카테롤 앰플 30ml 기획(+리필31ml),"26,000","20,800",999+
라우쉬,[2023 어워즈] 라우쉬 콜츠푸트 안티-댄드러프 샴푸 200ml 한정 기획,"39,800","35,820",747
클리오,[NEW] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,"11,000","7,700",999+
마녀공장,[민카롱 Pick] 마녀공장 퓨어&딥 클렌징 폼 1+1 기획 (120ml+120ml),"12,000","10,500",999+
덴티스테,덴티스테 민트볼 20입,"6,500","4,400",999+
뮤드,[NEW컬러] 뮤드 인스파이어 스키니 컬링/멀티 픽서 마스카라,"14,000","10,500",999+
에스네이처,[2023어워즈/1+1] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 어워즈 한정기획 (60ml+60ml),"43,000","23,500",999+
넘버즈인,[피부결] 넘버즈인 3번 보들보들 결 세럼 80ml 기획(+3번 결 세럼팩),"34,000","23,800",999+
롬앤,[2023 어워즈/1위틴트] 롬앤 쥬시 래스팅 틴트,"9,900","8,400",999+
코스노리,[NEW컬러] 코스노리 웨이브 틴트 9 colors,"15,000","12,000",999+
트리셀,[1월 올영픽] 트리셀 포르테 앰플 트리트먼트 기획세트 (200ml+200ml),"28,000","20,060",422
어노브,[2023 어워즈 헤어케어 1위]어노브 대용량 딥 데미지 트리트먼트 EX 어워즈/듀오/더블 기획3종 택1,"42,000","28,500",999+
오쏘몰,오쏘몰 이뮨 멀티비타민&미네랄 7입 (1주분),"38,000","31,800",999+
좋은느낌,좋은느낌 유기농 순면커버 라이너  6종 택 1 (롱 / 일반 / 수퍼롱),"6,500","3,580",999+
아벤느,아벤느 이드랑스 아쿠아 크림-인-젤 EX 50ml 한정기획 (+이드랑스 에센스인로션 100ml) (와다다곰 콜라보),"31,000","22,900",392
러븀,[1월 올영픽][최모나 PICK] 러븀 카밍 리페어 어린시카 겔 마스크 5매,"25,000","16,700",999+
스킨푸드,[한정기획] 스킨푸드 캐롯 카로틴 카밍 워터 패드 기획 (60매+6매증정),"26,000","17,290",999+
온더바디,[마루는강쥐X온더바디] 온더바디 발을씻자 코튼 풋샴푸 385ml 2종 택1 (민트향/비누향),"11,900","5,450",999+
피지오겔,[더블기획] 피지오겔 DMT 페이셜 크림 100ml+100ml 증정 기획,"59,000","29,900",999+
